opeid,school,total,min_aid
00108100,Arizona State University,63533137,31766569
00332900,Pennsylvania State University (The),54994846,27497423
00262900,"Rutgers, The State University Of New Jersey",54160640,27080320
00395400,University Of Central Florida,51071250,25535625
00150600,Miami Dade College,49074737,24537369
00157400,Georgia State University,45243852,22621926
00115300,"California State University, Northridge",44652328,22326164
00309000,Ohio State University (The),42885215,21442608
00113900,"California State University, Long Beach",41729439,20864720
00113700,"California State University, Fullerton",41021512,20510756
00363200,Texas A&M University,39816443,19908222
00379800,University Of Washington - Seattle,39715956,19857978
00963500,Florida International University,38301957,19150979
00114000,"California State University, Los Angeles",37914166,18957083
00131400,"University Of California, Irvine",36731629,18365815
00365200,University Of Houston,36703283,18351642
00131500,"University Of California, Los Angeles",35906870,17953435
00115000,California State University - Sacramento,35734362,17867181
00131700,"University Of California, San Diego",34889769,17444885
00153700,University Of South Florida,34839748,17419874
00359900,University Of Texas - Rio Grande Valley,34334258,17167129
00131300,"University Of California, Davis",33871763,16935882
00991700,Ivy Tech Community College Of Indiana,33040571,16520286
00114700,"California State University, Fresno",32802107,16401054
00367000,Brigham Young University,32272986,16136493
00361500,Texas State University,31791509,15895755
00365800,University Of Texas At Austin,31462321,15731161
00177500,University Of Illinois At Urbana-Champaign,31448178,15724089
00153500,University Of Florida,31046411,15523206
00108300,University Of Arizona (The),30953447,15476724
00114400,"California State Polytechnic University, Pomona",30904089,15452045
00131200,"University Of California, Berkeley",30440627,15220314
00177600,University Of Illinois At Chicago,29874590,14937295
00229000,Michigan State University,29836588,14918294
00131600,"University Of California, Riverside",29734626,14867313
01011500,University Of Texas At San Antonio,29656887,14828444
00115100,San Diego State University,29394934,14697467
00148900,Florida State University,29339828,14669914
00359400,University Of North Texas,29018088,14509044
01114500,Lone Star College System,28823255,14411628
00115500,San Jose State University,28769546,14384773
00337100,Temple University,28740378,14370189
00115400,San Francisco State University,28725948,14362974
01063300,Houston Community College,28294391,14147196
00157700,Kennesaw State University,27911927,13955964
00675000,Valencia College,27682203,13841102
00150000,Broward College,27154901,13577451
00269100,Cuny Borough Of Manhattan Community College,26420828,13210414
00114200,"California State University, San Bernardino",26243781,13121891
00396900,University Of Minnesota - Twin Cities,25794123,12897062
00278500,New York University,25626944,12813472
00364400,Texas Tech University,25515252,12757626
00232500,University Of Michigan - Ann Arbor,25244052,12622026
00132000,"University Of California, Santa Barbara",25204196,12602098
00366100,University Of Texas At El Paso,24827599,12413800
00180900,Indiana University - Bloomington,24572922,12286461
00297500,University Of North Carolina - Charlotte,24310557,12155279
00283700,State University Of New York At Buffalo,23952900,11976450
00159800,University Of Georgia,23704129,11852065
00256900,University Of Nevada - Las Vegas,23685293,11842647
00108200,Northern Arizona University,23577854,11788927
00312500,University Of Cincinnati,23527312,11763656
00402700,Utah Valley University,22949207,11474604
00157200,Georgia Southern University,22748221,11374111
00182500,Purdue University,22588795,11294398
00148100,Florida Atlantic University,22429874,11214937
00107400,Grand Canyon University,22351397,11175699
00362600,Tarrant County College District,21984486,10992243
